Taxon,Plant_part,Phylum,Locality,C_percent,C_N_P,References
Acanthophora spicifera,,R,Hawaii,33,555:38:01,
A. spicifera,,R,N. Queensland,29,1093:62:1,
Alaria crassifolia,,P,Japan,-,143:16:01,Johnston1 971
Amphibolis griffithii,leaves,S,W. Australia,38,535:20:01,
A. griffithii,stems,S,W. Australia,39,982:27:01,
Amphiroa foliacea,,R,N. Queensland,21,295:16:01,
Asparagopsis sp.,,R,Enewetak,22,495:47:01,
Boodlea sp.,,Ch,Enewetak,25,605:71:1,
Boodlea sp.,,Ch,Enewetak,17,371:33:01,
Calothrix sp.,,Cy,Enewetak,18,466:46:01,
Calothrix sp.,,Cy,Enewetak,17,429:52:01,
Cladophora sp.,,Ch,Enewetak,18,265:38:01,
Cladostephus spongiosus,,R,Corsica,33,1927:70:1,
Codium sp.,,Ch,Rhode Island,20,251:31:01,
Codium arabicum,,Ch,Hawaii,22,468:24:01,
Codium barsa,,Ch,Corsica,18,971:74:1,
Colpomenia sinuosa,,P,N. Queensland,24,437:18:01,
Cymodocea nodosa,leaves,S,Corsica,38,408:15:01,
Cymodocea serrulata,leaves,S,N. Queensland,38,638:18:01,
C. serrulata,leaves,S,N. Queensland,-,410:19:01,Birch 1975
C. serrulata,rhizomes,S,N. Queensland,-,872:13:01,Birch 1975
Cystoseria balearica,,P,Corsica,37,995:54:01,
Cystoseria fimbriata,,P,Corsica,34,1896:68:1,
Cystoseria spinosa,,P,Corsica,43,589:61:1,
Cystoseria stricta,,P,Corsica,40,1124:65:1,
Cystoseria trinodis,,P,N. Queensland,34,933:35:01,
Dictyosphaeria cavernosa,,Ch,Hawaii,15,623:31:01,
Dictyosphaeria versluysii,,Ch,N. Queensland,22,478:20:01,
Dictyota acutiloba,,P,Hawaii,37,744:35:01,
Dictyota pardalis,,P,N. Queensland,41,1201:58:01,
Dictyota sandvicenvis,,P,Hawaii,47,951:53:01,
Ecklonia radiata,,P,W. Australia,36,364:14:01,
Enhalus acoroides,leaves,S,N. Queensland,-,317:16:01,Birch 1975
E. acoroides,rhizomes,S,N. Queensland,-,410:05:01,Birch 1975
E. acoroides,leaves,S,N. Queensland,37,444:18:01,
E. acoroides,leaves,S,Palau,41,1000:48:01,
E. acoroides,rhizomes,S,Palau,37,659:16:01,
Enteromorphaflexuosa,,Ch,N. Queensland,15,362:16:01,
Galaxaura rugosa,,R,Hawaii,28,545:31:01,
Gracilaria sp.,,R,Hawaii,21,315:16:01,
Gracilaria verrucosa,,R,Japan,-,291:43:01,Johnston1 971
Gracilaria sp.,,R,Virginia,38,819:29:01,
Halimeda sp.,,Ch,Enewetak,30,872:42:01,
Halimeda discoidea,,Ch,Hawaii,33,499:47:01,
Halimeda opuntia,,Ch,N. Queensland,48,488:33:01,
Halimeda tuna,,Ch,Corsica,34,501:67:1,
Halodule univervis,leaves,S,N. Queensland,-,465:13:01,Birch 1975
H. univervis,rhizomes,S,N. Queensland,-,388:14:01,Birch 1975
H. univervis,leaves,S,N. Queensland,36,623:18:01,
Halophila decipiens,,S,N. Queensland,-,268:11:01,Birch 1975
Halophila hawaiiana,,S,Hawaii,29,447:18:01,
Halophila ovalis,,S,W. Australia,29,388:13:01,
H. ovalis,,S,N. Queensland,-,465:09:01,Birch 1975
Halophila ovata,,R,N. Queensland,-,698:09:01,Birch 1975
Halophila spinulosa,,S,N. Queensland,-,465:10:01,Birch 1975
H. spinulosa,,S,N. Queensland,29,256:11:01,
