#From Lauvset, S. K, R. M. Key, A. Olsen, S. van Heuven, A. Velo, X. Lin, C. Schirnick, A. Kozyr, T. Tanhua, M. Hoppema, S. Jutterström, R. #Steinfeldt, E. Jeansson, M. Ishii, F. F. Pérez, T. Suzuki and S. Watelet. A new global interior ocean mapped climatology: the 1°x1° GLODAP version #2, Earth Syst. Sci. Data, 8, 325–340, 2016, doi:10.5194/essd-8-325-2016
depth_surface,depth_m
1,0
2,10
3,20
4,30
5,50
6,75
7,100
8,125
9,150
10,200
11,250
12,300
13,400
14,500
15,600
16,700
17,800
18,900
19,1000
20,1100
21,1200
22,1300
23,1400
24,1500
25,1750
26,2000
27,2500
28,3000
29,3500
30,4000
31,4500
32,5000
33,5500
